out,A0,dA0,A1,dA1,A2,dA2,A0-A1,d(A0-A1),A1-A2,d(A1-A2),current (mA),d(current (mA))
0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan
0.10,0.0782,0.0000,0.0787,0.0015,0.0000,0.0000,-0.0005,0.0001,0.0787,0.0001,-0.0022,-0.0005
0.20,0.1760,0.0000,0.1760,0.0000,0.0000,0.0000,0.0000,0.0000,0.1760,0.0000,0.0000,nan
0.30,0.2737,0.0000,0.2742,0.0015,0.0000,0.0000,-0.0005,0.0004,0.2742,0.0004,-0.0022,-0.0018
0.40,0.3675,0.0020,0.3690,0.0024,0.0000,0.0000,-0.0015,0.0012,0.3690,0.0009,-0.0067,-0.0053
0.50,0.4692,0.0000,0.4692,0.0000,0.0000,0.0000,0.0000,0.0000,0.4692,0.0000,0.0000,nan
0.60,0.5674,0.0015,0.5670,0.0000,0.0000,0.0000,0.0005,0.0008,0.5670,0.0000,0.0022,0.0038
0.70,0.6652,0.0015,0.6652,0.0015,0.0000,0.0000,0.0000,0.0014,0.6652,0.0010,0.0000,nan
0.80,0.7669,0.0015,0.7669,0.0015,0.0000,0.0000,0.0000,0.0016,0.7669,0.0011,0.0000,nan
0.90,0.8587,0.0022,0.8592,0.0020,0.0000,0.0000,-0.0005,0.0026,0.8592,0.0017,-0.0022,-0.0117
1.00,0.9580,0.0000,0.9575,0.0015,0.0000,0.0000,0.0005,0.0014,0.9575,0.0014,0.0022,0.0064
1.10,1.0591,0.0022,1.0596,0.0020,0.0000,0.0000,-0.0005,0.0031,1.0596,0.0021,-0.0022,-0.0144
1.20,1.1525,0.0020,1.1525,0.0020,0.0000,0.0000,0.0000,0.0032,1.1525,0.0023,0.0000,nan
1.30,1.2551,0.0020,1.2561,0.0000,0.0000,0.0000,-0.0010,0.0025,1.2561,0.0000,-0.0045,-0.0112
1.40,1.3534,0.0015,1.3539,0.0000,0.0000,0.0000,-0.0005,0.0020,1.3539,0.0000,-0.0022,-0.0091
1.50,1.4497,0.0024,1.4472,0.0015,0.0000,0.0000,0.0024,0.0041,1.4472,0.0021,0.0112,0.0186
1.60,1.5513,0.0024,1.5494,0.0000,0.0000,0.0000,0.0020,0.0037,1.5494,0.0000,0.0090,0.0170
1.70,1.6471,0.0000,1.6276,0.0000,0.0000,0.0000,0.0196,0.0000,1.6276,0.0000,0.0896,0.0004
1.80,1.7454,0.0015,1.6764,0.0000,0.0000,0.0000,0.0689,0.0026,1.6764,0.0000,0.3157,0.0118
1.90,1.8436,0.0020,1.7058,0.0000,0.0000,0.0000,0.1378,0.0036,1.7058,0.0000,0.6314,0.0168
2.00,1.9355,0.0000,1.7253,0.0000,0.0000,0.0000,0.2102,0.0000,1.7253,0.0000,0.9627,0.0048
2.10,2.0381,0.0000,1.7444,0.0015,0.0000,0.0000,0.2937,0.0026,1.7444,0.0026,1.3456,0.0135
2.20,2.1359,0.0000,1.7576,0.0024,0.0000,0.0000,0.3783,0.0042,1.7576,0.0042,1.7329,0.0211
2.30,2.2292,0.0015,1.7693,0.0000,0.0000,0.0000,0.4599,0.0033,1.7693,0.0000,2.1068,0.0183
2.40,2.3319,0.0015,1.7791,0.0000,0.0000,0.0000,0.5528,0.0034,1.7791,0.0000,2.5322,0.0201
2.50,2.4272,0.0024,1.7889,0.0000,0.0000,0.0000,0.6383,0.0058,1.7889,0.0000,2.9240,0.0304
2.60,2.5269,0.0000,1.7986,0.0000,0.0000,0.0000,0.7283,0.0000,1.7986,0.0000,3.3360,0.0167
2.70,2.6246,0.0000,1.8084,0.0000,0.0000,0.0000,0.8162,0.0000,1.8084,0.0000,3.7390,0.0187
2.80,2.7219,0.0015,1.8143,0.0020,0.0000,0.0000,0.9076,0.0053,1.8143,0.0035,4.1577,0.0321
2.90,2.8201,0.0000,1.8231,0.0000,0.0000,0.0000,0.9971,0.0000,1.8231,0.0000,4.5674,0.0228
3.00,2.9179,0.0000,1.8314,0.0022,0.0000,0.0000,1.0865,0.0041,1.8314,0.0041,4.9771,0.0312
3.10,3.0152,0.0015,1.8377,0.0000,0.0000,0.0000,1.1774,0.0044,1.8377,0.0000,5.3936,0.0337
3.20,3.1183,0.0000,1.8441,0.0022,0.0000,0.0000,1.2742,0.0041,1.8441,0.0041,5.8369,0.0348
3.30,3.2160,0.0000,1.8519,0.0015,0.0000,0.0000,1.3641,0.0027,1.8519,0.0027,6.2489,0.0336
3.40,3.3138,0.0000,1.8578,0.0015,0.0000,0.0000,1.4560,0.0027,1.8578,0.0027,6.6698,0.0356
3.50,3.4145,0.0024,1.8641,0.0024,0.0000,0.0000,1.5503,0.0093,1.8641,0.0045,7.1019,0.0555
3.60,3.5098,0.0015,1.8715,0.0015,0.0000,0.0000,1.6383,0.0058,1.8715,0.0027,7.5049,0.0461
3.70,3.6075,0.0015,1.8768,0.0000,0.0000,0.0000,1.7307,0.0053,1.8768,0.0000,7.9281,0.0465
3.80,3.7097,0.0000,1.8817,0.0000,0.0000,0.0000,1.8280,0.0000,1.8817,0.0000,8.3736,0.0419
3.90,3.8025,0.0000,1.8866,0.0000,0.0000,0.0000,1.9159,0.0000,1.8866,0.0000,8.7766,0.0439
4.00,3.9052,0.0000,1.8920,0.0015,0.0000,0.0000,2.0132,0.0028,1.8920,0.0028,9.2222,0.0478
4.10,3.9980,0.0000,1.8978,0.0022,0.0000,0.0000,2.1002,0.0043,1.8978,0.0043,9.6207,0.0519
4.20,4.0958,0.0000,1.9052,0.0020,0.0000,0.0000,2.1906,0.0037,1.9052,0.0037,10.0349,0.0530
4.30,4.1970,0.0022,1.9106,0.0015,0.0000,0.0000,2.2864,0.0098,1.9106,0.0028,10.4737,0.0690
4.40,4.2908,0.0015,1.9159,0.0000,0.0000,0.0000,2.3749,0.0063,1.9159,0.0000,10.8790,0.0616
4.50,4.3915,0.0024,1.9208,0.0000,0.0000,0.0000,2.4707,0.0107,1.9208,0.0000,11.3178,0.0750
4.60,4.4423,0.0015,1.9233,0.0024,0.0000,0.0000,2.5191,0.0080,1.9233,0.0047,11.5394,0.0684
4.70,4.4428,0.0000,1.9242,0.0022,0.0000,0.0000,2.5186,0.0043,1.9242,0.0043,11.5372,0.0610
4.80,4.4423,0.0015,1.9238,0.0024,0.0000,0.0000,2.5186,0.0080,1.9238,0.0046,11.5372,0.0683
4.90,4.4433,0.0015,1.9223,0.0022,0.0000,0.0000,2.5210,0.0078,1.9223,0.0043,11.5484,0.0679
5.00,4.4428,0.0000,1.9208,0.0000,0.0000,0.0000,2.5220,0.0000,1.9208,0.0000,11.5529,0.0578
